sample,symbol,status,return_pct,sharpe_ratio,avg_annual_return_pct,max_drawdown_pct
1,MCD,exception,,,,
2,CAT,missing_methods,,,,
3,V,ok,196.1175999999998,0.8697515730157779,13.761018389460016,33.883949487151696
4,KO,exception,,,,
5,NKE,exception,,,,
6,HON,invalid_code,,,,
7,AAPL,missing_methods,,,,
8,VZ,missing_methods,,,,
9,KO,missing_methods,,,,
10,NVDA,exception,,,,
11,AAPL,invalid_code,,,,
12,PG,exception,,,,
13,IBM,ok,-0.9308000000000205,-4.7995970391025615,-0.10358768104156393,1.5647287057045982
14,MSFT,exception,,,,
15,BA,ok,-0.36969999999999503,-5.517247683794059,-0.04096686241267368,4.291246451183748
16,HON,exception,,,,
17,GS,missing_methods,,,,
18,WBA,exception,,,,
19,MRK,exception,,,,
20,VZ,missing_methods,,,,
